simulation,match_id,round,home_team,away_team,home_goals,away_goals,winner,loser,penalties
14,79,Round of 32,Mexico,Morocco,1,1,Morocco,Mexico,True
14,80,Round of 32,Croatia,Portugal,2,1,Croatia,Portugal,False
14,81,Round of 32,Iran,South Korea,0,1,South Korea,Iran,False
14,82,Round of 32,United States,Ecuador,1,0,United States,Ecuador,False
14,83,Round of 32,Colombia,England,0,3,England,Colombia,False
14,84,Round of 32,Spain,Algeria,2,1,Spain,Algeria,False
14,85,Round of 32,Canada,Jordan,1,0,Canada,Jordan,False
14,86,Round of 32,Australia,Belgium,0,0,Australia,Belgium,True
14,87,Round of 32,Argentina,Uruguay,1,2,Uruguay,Argentina,False
14,88,Round of 32,DR Congo,Panama,2,2,Panama,DR Congo,True
14,89,Round of 16,South Africa,Ivory Coast,1,3,Ivory Coast,South Africa,False
14,90,Round of 16,Brazil,Germany,2,1,Brazil,Germany,False
14,91,Round of 16,Netherlands,France,2,1,Netherlands,France,False
14,92,Round of 16,Morocco,Croatia,1,0,Morocco,Croatia,False
14,93,Round of 16,England,Spain,1,2,Spain,England,False
14,94,Round of 16,South Korea,United States,2,3,United States,South Korea,False
14,95,Round of 16,Australia,Panama,1,1,Panama,Australia,True
14,96,Round of 16,Canada,Uruguay,0,4,Uruguay,Canada,False
14,97,Quarter-final,Ivory Coast,Brazil,2,3,Brazil,Ivory Coast,False
14,98,Quarter-final,Spain,United States,3,0,Spain,United States,False
14,99,Quarter-final,Netherlands,Morocco,2,1,Netherlands,Morocco,False
14,100,Quarter-final,Panama,Uruguay,0,3,Uruguay,Panama,False
14,101,Semi-final,Brazil,Spain,0,2,Spain,Brazil,False
14,102,Semi-final,Netherlands,Uruguay,1,4,Uruguay,Netherlands,False
14,103,Third-place playoff,Brazil,Netherlands,1,2,Netherlands,Brazil,False
14,104,Final,Spain,Uruguay,0,0,Spain,Uruguay,True
15,73,Round of 32,Mexico,Canada,1,0,Mexico,Canada,False
15,74,Round of 32,Morocco,Tunisia,2,0,Morocco,Tunisia,False
15,75,Round of 32,Ivory Coast,Scotland,0,0,Ivory Coast,Scotland,True
15,76,Round of 32,Netherlands,Haiti,4,0,Netherlands,Haiti,False
15,77,Round of 32,Germany,Senegal,1,3,Senegal,Germany,False
15,78,Round of 32,France,United States,1,0,France,United States,False
15,79,Round of 32,South Korea,Ecuador,3,3,South Korea,Ecuador,True
15,80,Round of 32,Croatia,Colombia,0,2,Colombia,Croatia,False
15,81,Round of 32,Egypt,Algeria,1,1,Egypt,Algeria,True
15,82,Round of 32,Turkey,Switzerland,2,0,Turkey,Switzerland,False
15,83,Round of 32,DR Congo,England,0,1,England,DR Congo,False
15,84,Round of 32,Spain,Austria,4,0,Spain,Austria,False
15,85,Round of 32,Qatar,Iran,2,1,Qatar,Iran,False
15,86,Round of 32,Paraguay,Belgium,2,3,Belgium,Paraguay,False
15,87,Round of 32,Argentina,Uruguay,2,2,Argentina,Uruguay,True
15,88,Round of 32,Portugal,Iraq,2,0,Portugal,Iraq,False
15,89,Round of 16,Mexico,Ivory Coast,0,0,Ivory Coast,Mexico,True
15,90,Round of 16,Morocco,Senegal,1,1,Senegal,Morocco,True
15,91,Round of 16,Netherlands,France,4,0,Netherlands,France,False
15,92,Round of 16,South Korea,Colombia,1,1,Colombia,South Korea,True
15,93,Round of 16,England,Spain,3,0,England,Spain,False
15,94,Round of 16,Egypt,Turkey,2,2,Egypt,Turkey,True
15,95,Round of 16,Belgium,Portugal,1,4,Portugal,Belgium,False
15,96,Round of 16,Qatar,Argentina,1,1,Argentina,Qatar,True
15,97,Quarter-final,Ivory Coast,Senegal,1,0,Ivory Coast,Senegal,False
15,98,Quarter-final,England,Egypt,1,1,Egypt,England,True
15,99,Quarter-final,Netherlands,Colombia,1,1,Colombia,Netherlands,True
15,100,Quarter-final,Portugal,Argentina,0,3,Argentina,Portugal,False
15,101,Semi-final,Ivory Coast,Egypt,2,1,Ivory Coast,Egypt,False
15,102,Semi-final,Colombia,Argentina,0,0,Colombia,Argentina,True
15,103,Third-place playoff,Egypt,Argentina,3,3,Argentina,Egypt,True
15,104,Final,Ivory Coast,Colombia,0,2,Colombia,Ivory Coast,False
16,73,Round of 32,Czech Republic,Canada,3,0,Czech Republic,Canada,False
16,74,Round of 32,Brazil,Tunisia,3,0,Brazil,Tunisia,False
16,75,Round of 32,Ecuador,Scotland,2,0,Ecuador,Scotland,False
16,76,Round of 32,Japan,Morocco,0,0,Morocco,Japan,True
16,77,Round of 32,Germany,Norway,0,4,Norway,Germany,False
16,78,Round of 32,France,Australia,0,0,Australia,France,True
16,79,Round of 32,Mexico,Cape Verde,0,0,Mexico,Cape Verde,True
16,80,Round of 32,Croatia,DR Congo,2,2,Croatia,DR Congo,True
16,81,Round of 32,New Zealand,South Korea,1,1,South Korea,New Zealand,True
16,82,Round of 32,United States,Ivory Coast,1,4,Ivory Coast,United States,False
16,83,Round of 32,Colombia,England,2,2,England,Colombia,True
16,84,Round of 32,Spain,Algeria,4,1,Spain,Algeria,False
16,85,Round of 32,Switzerland,Iran,2,2,Switzerland,Iran,True
16,86,Round of 32,Turkey,Belgium,1,1,Belgium,Turkey,True
16,87,Round of 32,Argentina,Uruguay,0,0,Uruguay,Argentina,True
16,88,Round of 32,Portugal,Panama,1,0,Portugal,Panama,False
16,89,Round of 16,Czech Republic,Ecuador,0,1,Ecuador,Czech Republic,False
16,90,Round of 16,Brazil,Norway,2,1,Brazil,Norway,False
16,91,Round of 16,Morocco,Australia,2,2,Australia,Morocco,True
16,92,Round of 16,Mexico,Croatia,0,2,Croatia,Mexico,False
16,93,Round of 16,England,Spain,0,0,Spain,England,True
16,94,Round of 16,South Korea,Ivory Coast,0,0,Ivory Coast,South Korea,True
16,95,Round of 16,Belgium,Portugal,1,3,Portugal,Belgium,False
16,96,Round of 16,Switzerland,Uruguay,0,1,Uruguay,Switzerland,False
16,97,Quarter-final,Ecuador,Brazil,1,5,Brazil,Ecuador,False
16,98,Quarter-final,Spain,Ivory Coast,5,4,Spain,Ivory Coast,False
16,99,Quarter-final,Australia,Croatia,1,1,Australia,Croatia,True
16,100,Quarter-final,Portugal,Uruguay,0,1,Uruguay,Portugal,False
16,101,Semi-final,Brazil,Spain,3,0,Brazil,Spain,False
16,102,Semi-final,Australia,Uruguay,2,5,Uruguay,Australia,False
16,103,Third-place playoff,Spain,Australia,1,0,Spain,Australia,False
16,104,Final,Brazil,Uruguay,2,1,Brazil,Uruguay,False
17,73,Round of 32,Mexico,Switzerland,0,1,Switzerland,Mexico,False
17,74,Round of 32,Morocco,Sweden,3,1,Morocco,Sweden,False
17,75,Round of 32,Ecuador,Brazil,1,1,Brazil,Ecuador,True
17,76,Round of 32,Netherlands,Scotland,5,4,Netherlands,Scotland,False
17,77,Round of 32,Germany,Senegal,4,1,Germany,Senegal,False
17,78,Round of 32,France,Australia,0,3,Australia,France,False
17,79,Round of 32,Czech Republic,Cape Verde,0,0,Cape Verde,Czech Republic,True
17,80,Round of 32,England,Norway,4,0,England,Norway,False
17,81,Round of 32,Belgium,South Korea,2,0,Belgium,South Korea,False
17,82,Round of 32,Turkey,Ivory Coast,4,2,Turkey,Ivory Coast,False
17,83,Round of 32,Uzbekistan,Croatia,1,1,Croatia,Uzbekistan,True
17,84,Round of 32,Spain,Algeria,0,0,Algeria,Spain,True
17,85,Round of 32,Canada,Austria,0,2,Austria,Canada,False
17,86,Round of 32,United States,Iran,0,1,Iran,United States,False
17,87,Round of 32,Argentina,Uruguay,0,3,Uruguay,Argentina,False
17,88,Round of 32,Portugal,Panama,6,1,Portugal,Panama,False
17,89,Round of 16,Switzerland,Brazil,1,2,Brazil,Switzerland,False
17,90,Round of 16,Morocco,Germany,1,2,Germany,Morocco,False
17,91,Round of 16,Netherlands,Australia,1,0,Netherlands,Australia,False
17,92,Round of 16,Cape Verde,England,1,3,England,Cape Verde,False
17,93,Round of 16,Croatia,Algeria,2,2,Algeria,Croatia,True
17,94,Round of 16,Belgium,Turkey,1,2,Turkey,Belgium,False
17,95,Round of 16,Iran,Portugal,0,1,Portugal,Iran,False
17,96,Round of 16,Austria,Uruguay,2,1,Austria,Uruguay,False
17,97,Quarter-final,Brazil,Germany,2,3,Germany,Brazil,False
17,98,Quarter-final,Algeria,Turkey,2,1,Algeria,Turkey,False
17,99,Quarter-final,Netherlands,England,1,2,England,Netherlands,False
17,100,Quarter-final,Portugal,Austria,4,1,Portugal,Austria,False
17,101,Semi-final,Germany,Algeria,2,0,Germany,Algeria,False
17,102,Semi-final,England,Portugal,0,1,Portugal,England,False
17,103,Third-place playoff,Algeria,England,0,1,England,Algeria,False
17,104,Final,Germany,Portugal,1,1,Portugal,Germany,True
18,73,Round of 32,Czech Republic,Qatar,1,0,Czech Republic,Qatar,False
18,74,Round of 32,Brazil,Sweden,1,0,Brazil,Sweden,False
18,75,Round of 32,Germany,Turkey,0,0,Turkey,Germany,True
18,76,Round of 32,Netherlands,Scotland,3,1,Netherlands,Scotland,False
18,77,Round of 32,Curaçao,Senegal,0,1,Senegal,Curaçao,False
18,78,Round of 32,France,Japan,2,0,France,Japan,False
18,79,Round of 32,Mexico,Ecuador,0,1,Ecuador,Mexico,False
18,80,Round of 32,Panama,Algeria,2,1,Panama,Algeria,False
18,81,Round of 32,New Zealand,South Korea,1,3,South Korea,New Zealand,False
18,82,Round of 32,Paraguay,Switzerland,1,0,Paraguay,Switzerland,False
18,83,Round of 32,Uzbekistan,England,0,4,England,Uzbekistan,False
18,84,Round of 32,Spain,Austria,2,0,Spain,Austria,False
18,85,Round of 32,Canada,Belgium,0,3,Belgium,Canada,False
18,86,Round of 32,United States,Iran,2,1,United States,Iran,False
18,87,Round of 32,Argentina,Cape Verde,5,0,Argentina,Cape Verde,False
