date,home_team,away_team,tournament,neutral,home_elo_before,away_elo_before,home_elo_after,away_elo_after,goal_diff,k_base,k_used
2006-08-16,Romania,Cyprus,Friendly,False,1358.7820528721197,981.7233865211912,1360.5911517037543,979.9142876895567,2,20,30.0
2006-08-16,Russia,Latvia,Friendly,False,1267.6887495348763,1023.058375048469,1270.1069259535657,1020.6401986297795,1,20,20.0
2006-08-16,San Marino,Albania,Friendly,False,585.6802286811452,1033.4995621551775,581.5162372764423,1037.6635535598803,3,20,35.0
2006-08-16,Tunisia,Mali,Friendly,True,1239.2528769373973,1148.1376304695395,1226.6888815674165,1160.7016258395204,1,20,20.0
2006-08-16,Uzbekistan,Hong Kong,AFC Asian Cup qualification,False,1169.298720849053,878.9168937232994,1153.122307521661,895.0933070506914,0,40,40.0
2006-08-16,Namibia,South Africa,Friendly,False,825.1445385914944,1066.2433140778508,818.9962279235641,1072.3916247457812,1,20,20.0
2006-08-16,Republic of Ireland,Netherlands,Friendly,False,1345.6393120706857,1508.6274787520001,1330.251825373456,1524.0149654492297,4,20,37.5
2006-08-16,Bangladesh,Qatar,AFC Asian Cup qualification,False,797.4482448275563,1184.4825750308735,786.1923839142702,1195.7384359441596,3,40,70.0
2006-08-16,India,Saudi Arabia,AFC Asian Cup qualification,False,880.0744789182661,1146.641842831437,860.6767269701049,1166.0395947795982,3,40,70.0
2006-08-16,Australia,Kuwait,AFC Asian Cup qualification,False,1413.5613109426406,1081.2820641185517,1418.1618372823345,1076.6815377788578,2,40,60.0
2006-08-16,Austria,Hungary,Friendly,False,1148.183031305771,1142.5394280074124,1135.232733249734,1155.4897260634493,1,20,20.0
2006-08-16,Venezuela,Honduras,Friendly,False,1131.9908404893067,1302.7769377845389,1134.0004981726725,1300.7672801011731,0,20,20.0
2006-08-16,Belarus,Andorra,Friendly,False,1092.7756273059092,730.0940486134941,1095.0564838904986,727.8131920289047,3,20,35.0
2006-08-16,Belgium,Kazakhstan,UEFA Euro qualification,False,1238.5380841526735,930.0223170109631,1222.0156129675734,946.5447881960632,0,40,40.0
2006-08-16,Bosnia and Herzegovina,France,Friendly,False,1160.1984811245388,1592.3596711176997,1157.6235194625801,1594.9346327796584,1,20,20.0
2006-08-16,Cameroon,Guinea,Friendly,True,1392.4853017946434,1233.8089611364621,1388.2113347017935,1238.082928229312,0,20,20.0
2006-08-16,Chile,Colombia,Friendly,False,1252.6868757990294,1329.3295533473124,1242.0156089933712,1340.0008201529706,1,20,20.0
2006-08-16,Iran,Syria,AFC Asian Cup qualification,False,1327.4025429592136,1044.9991878900723,1311.3879288426162,1061.0138020066697,0,40,40.0
2006-08-16,China PR,Singapore,AFC Asian Cup qualification,False,1165.7933107638073,998.9306656679277,1172.8769334368121,991.8470429949228,1,40,40.0
2006-08-16,Denmark,Poland,Friendly,False,1400.7523379638533,1297.0838719101744,1407.8449275701478,1289.9912823038799,2,20,30.0
2006-08-16,Egypt,Uruguay,Friendly,False,1339.2015467648357,1367.3181148961512,1321.1416268622709,1385.378034798716,2,20,30.0
2006-08-16,England,Greece,Friendly,False,1528.1242487598759,1344.489474839229,1534.2538604124456,1338.3598631866591,4,20,37.5
2006-08-16,Estonia,North Macedonia,UEFA Euro qualification,False,973.1156109959447,1033.3905390762757,950.8387652598727,1055.6673848123476,1,40,40.0
2006-08-16,Faroe Islands,Georgia,UEFA Euro qualification,False,745.7320802128213,1021.7301051606818,723.0907560697774,1044.3714293037258,6,40,85.0
2006-08-16,Finland,Northern Ireland,Friendly,False,1176.139552716099,1022.4400644831519,1159.9076401682269,1038.671977031024,1,20,20.0
2006-08-16,Germany,Sweden,Friendly,False,1492.8161755740043,1383.2296295810506,1500.8775496531862,1375.1682555018688,3,20,35.0
2006-08-16,Guatemala,Haiti,Friendly,True,1174.66888989897,1138.4426049126268,1173.6299758098705,1139.4815190017264,0,20,20.0
2006-08-16,Czech Republic,Serbia,Friendly,False,1408.4014289856834,1254.796374531018,1384.0560542333849,1279.1417492833166,2,20,30.0
2006-08-17,Palestine,Iraq,AFC Asian Cup qualification,True,946.2950753392527,1188.4220680244978,932.3788936054494,1202.338249758301,3,40,70.0
2006-08-19,Zambia,Botswana,COSAFA Cup,False,1147.5233110914069,950.1709949581413,1152.111621144176,945.582684905372,1,30,30.0
2006-08-23,Malaysia,Indonesia,Merdeka Tournament,False,869.9396561906083,968.7942256117886,869.8902041564754,968.8436776459215,0,30,30.0
2006-08-25,Indonesia,Myanmar,Merdeka Tournament,True,968.8436776459215,852.2991661350362,963.9926445249323,857.1501992560254,0,30,30.0
2006-08-26,Eswatini,Lesotho,Friendly,False,821.9608178752669,786.8994310669151,831.4067425308881,777.4535064112939,2,20,30.0
2006-08-26,Tanzania,Zanzibar,Friendly,False,833.5515726915586,896.8410569755628,842.4988737576266,887.8937559094948,1,20,20.0
2006-08-26,Yemen,Libya,Friendly,False,903.0506289210074,1052.7347691109942,894.4709846519216,1061.31441338008,1,20,20.0
2006-08-27,Malaysia,Myanmar,Merdeka Tournament,False,869.8902041564754,857.1501992560254,850.1867624269458,876.853640985555,1,30,30.0
2006-08-27,Saudi Arabia,United Arab Emirates,Friendly,False,1166.0395947795982,1144.4487653224332,1172.6761360872586,1137.812224014773,1,20,20.0
2006-08-29,Yemen,Libya,Friendly,False,894.4709846519216,1061.31441338008,896.3715021064593,1059.4138959255424,0,20,20.0
2006-08-29,Uganda,Burkina Faso,Friendly,False,990.699491317232,1031.3851179908386,989.0086810856887,1033.0759282223817,0,20,20.0
2006-08-29,Myanmar,Indonesia,Merdeka Tournament,True,876.853640985555,963.9926445249323,895.5387864607795,945.3074990497078,1,30,30.0
2006-08-29,Togo,Niger,Friendly,False,1065.9394283583129,944.6273713614571,1060.3109808369923,950.2558188827778,0,20,20.0
2006-09-01,Denmark,Portugal,Friendly,False,1407.8449275701478,1471.9545275707883,1421.3009026745904,1458.4985524663457,2,20,30.0
2006-09-01,Oman,Syria,Friendly,False,1216.4623904176685,1061.0138020066697,1223.0028272878892,1054.473365136449,3,20,35.0
2006-09-02,Scotland,Faroe Islands,UEFA Euro qualification,False,1232.0026650345367,723.0907560697774,1234.481710382063,720.611710722251,6,40,85.0
2006-09-02,Moldova,Greece,UEFA Euro qualification,False,946.0174373600425,1338.3598631866591,939.7487431026958,1344.6285574440058,1,40,40.0
2006-09-02,Nigeria,Niger,African Cup of Nations qualification,False,1389.5540691230572,950.2558188827778,1392.1295126080968,947.6803753977382,2,40,60.0
2006-09-02,Northern Ireland,Iceland,UEFA Euro qualification,False,1038.671977031024,1032.7924952226242,993.3242445319586,1078.1402277216896,3,40,70.0
2006-09-02,Poland,Finland,UEFA Euro qualification,False,1289.9912823038799,1159.9076401682269,1242.5958368972804,1207.3030855748264,2,40,60.0
2006-09-02,Romania,Bulgaria,UEFA Euro qualification,False,1360.5911517037543,1237.9186273788398,1349.280869476043,1249.228909606551,0,40,40.0
2006-09-02,Senegal,Mozambique,African Cup of Nations qualification,False,1281.7781509742072,926.5970285246976,1285.8490037078004,922.5261757911045,2,40,60.0
2006-09-02,Tanzania,Burkina Faso,African Cup of Nations qualification,False,842.4988737576266,1033.0759282223817,867.5979088998964,1007.9768930801118,1,40,40.0
2006-09-02,Slovakia,Cyprus,UEFA Euro qualification,False,1213.543242868017,979.9142876895567,1223.7675065264434,969.6900240311302,5,40,80.0
2006-09-02,South Africa,Congo,African Cup of Nations qualification,False,1072.3916247457812,1006.8719925124353,1063.524446454997,1015.7391708032197,0,40,40.0
2006-09-02,Spain,Liechtenstein,UEFA Euro qualification,False,1476.0116295746454,684.405816270779,1476.4516685442823,683.9657773011421,4,40,75.0
2006-09-02,Switzerland,Venezuela,Friendly,False,1392.0573981645455,1134.0004981726725,1394.3160272926168,1131.7418690446011,1,20,20.0
2006-09-02,Uganda,Lesotho,African Cup of Nations qualification,False,989.0086810856887,777.4535064112939,998.9941503244337,767.468037172549,3,40,70.0
2006-09-02,Malta,Bosnia and Herzegovina,UEFA Euro qualification,False,774.3146069226235,1157.6235194625801,762.8546991843641,1169.0834272008397,3,40,70.0
2006-09-02,Serbia,Azerbaijan,UEFA Euro qualification,False,1279.1417492833166,893.1865282889221,1281.4403793281974,890.8878982440413,1,40,40.0
2006-09-02,Luxembourg,Netherlands,UEFA Euro qualification,False,489.2505938682237,1524.0149654492297,489.0672972842544,1524.198262033199,1,40,40.0
2006-09-02,Austria,Costa Rica,Friendly,True,1135.232733249734,1192.0896456474118,1136.8547530457126,1190.4676258514332,0,20,20.0
2006-09-02,South Korea,Iran,AFC Asian Cup qualification,False,1294.5737593713409,1311.3879288426162,1289.8746501332757,1316.0870380806814,0,40,40.0
2006-09-02,Latvia,Sweden,UEFA Euro qualification,False,1020.6401986297795,1375.1682555018688,1013.1331529597577,1382.6753011718906,1,40,40.0
2006-09-02,Bahamas,Cayman Islands,CFU Caribbean Cup qualification,True,829.340500699897,843.5638473883542,852.7610933333146,820.1432547549366,2,30,45.0
2006-09-02,Bahrain,Jordan,Friendly,False,1105.611379337637,1091.644008713735,1085.8602110626825,1111.3951769886894,2,20,30.0
2006-09-02,Belarus,Albania,UEFA Euro qualification,False,1095.0564838904986,1037.6635535598803,1086.5690286179363,1046.1510088324426,0,40,40.0
2006-09-02,Czech Republic,Wales,UEFA Euro qualification,False,1384.0560542333849,1131.4136593500252,1388.6997227428917,1126.7699908405184,1,40,40.0
2006-09-02,Egypt,Burundi,African Cup of Nations qualification,False,1321.1416268622709,887.0252796777894,1324.233270940681,883.9336355993793,3,40,70.0
2006-09-02,England,Andorra,UEFA Euro qualification,False,1534.2538604124456,727.8131920289047,1534.6850232686052,727.3820291727452,5,40,80.0
2006-09-02,Cuba,Turks and Caicos Islands,CFU Caribbean Cup qualification,False,1153.924748429443,889.6434676169215,1160.898457358049,882.6697586883156,6,30,63.75
2006-09-02,Gabon,Madagascar,African Cup of Nations qualification,False,1073.0821893652787,849.8086849646143,1083.1769493847714,839.7139249451216,4,40,75.0
2006-09-02,Georgia,France,UEFA Euro qualification,False,1044.3714293037258,1594.9346327796584,1039.5030555400824,1599.8030065433018,3,40,70.0
2006-09-02,Germany,Republic of Ireland,UEFA Euro qualification,False,1500.8775496531862,1330.251825373456,1507.8357824737457,1323.2935925528966,1,40,40.0
2006-09-02,Hungary,Norway,UEFA Euro qualification,False,1155.4897260634493,1269.5817847735273,1121.9085552846063,1303.1629555523702,3,40,70.0
2006-09-02,Italy,Lithuania,UEFA Euro qualification,False,1584.7785409254232,1012.4955874879482,1565.5958510211888,1031.6782773921827,0,40,40.0
2006-09-02,Kenya,Eritrea,African Cup of Nations qualification,False,982.2563797797442,797.5992626363701,948.7625072804343,831.09313513568,1,40,40.0
2006-09-02,Estonia,Israel,UEFA Euro qualification,False,950.8387652598727,1220.0359232871238,939.8752258567354,1230.9994626902612,1,40,40.0
2006-09-03,Mauritius,Tunisia,African Cup of Nations qualification,False,943.6039963312385,1226.6888815674165,953.265083882074,1217.0277940165809,0,40,40.0
2006-09-03,Togo,Benin,African Cup of Nations qualification,False,1060.3109808369923,904.6455043798311,1067.778180398213,897.1783048186104,1,40,40.0
2006-09-03,Eswatini,Angola,African Cup of Nations qualification,False,831.4067425308881,1208.9495696289127,821.3082490517338,1219.048063108067,2,40,60.0
2006-09-03,Sudan,Seychelles,African Cup of Nations qualification,False,947.0583524989845,852.2660395058601,964.2620777393262,835.0623142655185,3,40,70.0
2006-09-03,Sierra Leone,Mali,African Cup of Nations qualification,False,989.72122625045,1160.7016258395204,993.7512736202099,1156.6715784697603,0,40,40.0
2006-09-03,Rwanda,Cameroon,African Cup of Nations qualification,False,942.9680898014823,1388.2113347017935,934.5306863427643,1396.6487381605114,3,40,70.0
2006-09-03,Guinea,Algeria,African Cup of Nations qualification,False,1238.082928229312,1031.0825263298077,1223.9183822205703,1045.2470723385495,0,40,40.0
2006-09-03,Saudi Arabia,Japan,AFC Asian Cup qualification,False,1172.6761360872586,1317.4890060265666,1195.24156159612,1294.9235805177052,1,40,40.0
2006-09-03,Ethiopia,Libya,African Cup of Nations qualification,False,1070.5246433395796,1059.4138959255424,1084.3380778605233,1045.6004614045987,1,40,40.0
2006-09-03,Equatorial Guinea,Liberia,African Cup of Nations qualification,False,859.4075749351254,887.4480912797887,875.3234862072079,871.5321800077062,1,40,40.0
2006-09-03,Gambia,Cape Verde,African Cup of Nations qualification,False,939.1721352500066,939.7031206373246,960.8105043918476,918.0647514954835,2,40,60.0
2006-09-03,DR Congo,Namibia,African Cup of Nations qualification,False,1101.76411704163,818.9962279235641,1105.7419794570628,815.0183655081313,1,40,40.0
2006-09-03,Chad,Zambia,African Cup of Nations qualification,False,957.3200916052994,1152.111621144176,935.3078316320847,1174.1238811173907,2,40,60.0
2006-09-03,Argentina,Brazil,Friendly,True,1553.64520697929,1591.8760297329202,1538.0631225823838,1607.4581141298263,3,20,35.0
2006-09-03,Antigua and Barbuda,Dominica,Friendly,False,825.4644531821799,798.9653458384098,831.9763055143176,792.4534935062721,1,20,20.0
2006-09-04,Cayman Islands,Turks and Caicos Islands,CFU Caribbean Cup qualification,True,820.1432547549366,882.6697586883156,801.6493279843345,901.1636854589177,2,30,45.0
2006-09-04,Cuba,Bahamas,CFU Caribbean Cup qualification,False,1160.898457358049,852.7610933333146,1166.4518018724184,847.2077488189451,6,30,63.75
2006-09-04,Canada,Jamaica,Friendly,False,1175.4798469104003,1235.8812316104793,1184.3450167342285,1227.016061786651,1,20,20.0
2006-09-05,Wales,Brazil,Friendly,True,1126.7699908405184,1607.4581141298263,1124.9960853300383,1609.2320196403064,2,20,30.0
2006-09-06,Russia,Croatia,UEFA Euro qualification,False,1270.1069259535657,1382.0548681833343,1270.7944338012437,1381.3673603356563,0,40,40.0
